text,intent,cluster_kmeans,cluster_dbscan,x,y,label_kmeans,label_dbscan
i want supports changing my address,change_shipping_address,5,29,7.0560546,-3.1779826,"address, delivery, shipping","address, trying, help"
need help to leave a comment for your productsa,review,9,20,-5.136577,-0.66402835,"feedback, leave, help","feedback, leave, help"
need to change order,change_order,1,2,6.732925,13.729609,"order, purchase, help","order, purchase, help"
help leaving a comment about your services,review,9,20,-6.1331005,-2.0259929,"feedback, leave, help","feedback, leave, help"
i have to inform of a bloody payment issue,payment_issue,7,18,0.60278267,24.14455,"payment, online, payments","payment, online, payments"
where can i modify my delivery address?,change_shipping_address,5,4,4.049327,-3.813284,"address, delivery, shipping","address, delivery, shipping"
i have got to file a customer claim,complaint,12,24,-0.6573979,7.1343274,"claim, complaint, help","claim, complaint, help"
i do not know how i can see the bloody early termination fee,check_cancellation_fee,8,15,23.280155,6.7642336,"termination, early, check","termination, check, fee"
i want assistance submitting my new shipping address,set_up_shipping_address,5,4,3.1557665,-2.622663,"address, delivery, shipping","address, delivery, shipping"
i can't notify of problems with a registration,registration_problems,15,0,15.944963,6.7842293,"sign, signup, inform","registration, inform, report"
i want assistance opening a account for my dad,create_account,4,30,9.102206,3.3973567,"account, need, help","account, dad, open"
i'm trying to see at what time customer support available is,contact_customer_service,14,21,-14.366198,6.914858,"customer, hours, help","customer, hours, help"
how can i send some feedback about a product?,review,9,20,-5.5144067,-0.615621,"feedback, leave, help","feedback, leave, help"
how can i obtain goddamn rebates of my money?,get_refund,2,31,-11.71081,10.724658,"help, money, refund","rebate, money, rebates"
need to change some of my user details how to do it,edit_account,4,1,11.652674,5.521186,"account, need, help","account, standard, change"
i want help to subscribe to the goddamn corporate newsletter,newsletter_subscription,10,6,-2.490906,-9.744041,"newsletter, help, corporate","newsletter, corporate, sign"
can i delete several products from order ?,change_order,1,26,8.944315,13.236713,"order, purchase, help","order, delete, help"
help me to see what payment paymnet modalities are available,check_payment_methods,11,7,-5.074234,24.73005,"payment, methods, help","payment, methods, help"
"i have got to acquire several articles, can i get some help?",place_order,1,32,9.658613,14.772519,"order, purchase, help","article, articles, order"
assistance looking for invoice #85632,check_invoice,17,33,1.7943764,19.13767,"invoice, invoices, know","invoice, 37777, know"
i want to list the payment methods,check_payment_methods,11,7,-6.1827283,25.462498,"payment, methods, help","payment, methods, help"
i have to check the termination fees,check_cancellation_fee,8,15,23.302917,6.7310276,"termination, early, check","termination, check, fee"
i would like to request a damn refund of money,get_refund,2,19,-7.45865,10.87172,"help, money, refund","refunds, refund, request"
i am trying to see your reimbursement policy,check_refund_policy,2,34,-9.325608,14.550956,"help, money, refund","reimbursement, policy, check"
help to see ur available paymnet options,check_payment_methods,11,7,-5.9647126,24.214256,"payment, methods, help","payment, methods, help"
tgell me more about a shipping address update,change_shipping_address,5,4,4.5135875,-2.9540694,"address, delivery, shipping","address, delivery, shipping"
i do not know what to do to set up another delivery address,set_up_shipping_address,5,4,2.827157,-3.8134205,"address, delivery, shipping","address, delivery, shipping"
needassistance cancelling purchase,cancel_order,1,35,5.886,10.665583,"order, purchase, help","purchase, cancel, order"
update gold account,edit_account,4,36,8.552156,6.5929356,"account, need, help","gold, account, change"
download bill #00108,get_invoice,6,37,0.45213547,16.574389,"help, look, know","help, look, know"
"i want to check the fucking withdrawal fee, how can i do it?",check_cancellation_fee,8,25,21.032064,2.185504,"termination, early, check","withdrawal, charge, help"
can i lodge a consumer complaint against ur business,complaint,12,24,0.0061835162,5.945133,"claim, complaint, help","claim, complaint, help"
"i haven't registered, can i open a standard account?",create_account,4,1,11.738692,3.6508474,"account, need, help","account, standard, change"
i dont know what i need to do to download the bill #37777,get_invoice,6,37,0.5169101,16.518215,"help, look, know","help, look, know"
i want assistance creating a gold account,create_account,4,36,8.714899,6.3470974,"account, need, help","gold, account, change"
"i have paid for a product, i have to get a rebate",get_refund,2,31,-11.697528,10.725003,"help, money, refund","rebate, money, rebates"
need assistance to check the eta of purchase,track_order,18,38,-6.3016734,19.797094,"eta, purchase, order","eta, purchase, help"
i don't know how i could delete my standard account,delete_account,4,13,5.6577682,7.707885,"account, need, help","account, know, standard"
tell me more abou editing my address,change_shipping_address,5,29,7.2364187,-2.9857347,"address, delivery, shipping","address, trying, help"
find information about opening accounts,create_account,4,1,12.004927,3.4676611,"account, need, help","account, standard, change"
can you help me notify of errors with payment?,payment_issue,7,18,1.4429564,24.207827,"payment, online, payments","payment, online, payments"
help me reset my user pwd,recover_password,13,39,18.353361,11.046934,"user, key, account","user, key, account"
help recovering the password of my profile,recover_password,13,39,18.088387,10.623997,"user, key, account","user, key, account"
assitsance seeing in which cases can i request a refund,check_refund_policy,2,19,-6.921165,10.085485,"help, money, refund","refunds, refund, request"
how can i cancel purchase ?,cancel_order,1,35,6.0639052,10.920642,"order, purchase, help","purchase, cancel, order"
i need assistance to create a account,create_account,4,1,12.188042,3.1073163,"account, need, help","account, standard, change"
i cannot speak to a person,contact_human_agent,3,11,-5.384279,5.2672467,"customer, talk, assistance","customer, assistance, talk"
i want help to get my bill from,get_invoice,6,37,-0.67553765,17.180605,"help, look, know","help, look, know"
i want help solving an issue with online payment,payment_issue,7,18,1.8415921,25.327295,"payment, online, payments","payment, online, payments"
i want assistance seeing the cancellation charge,check_cancellation_fee,19,40,1.1039267,11.391868,"cancellation, need, charges","cancellation, charges, fees"
how can i check your payment methods?,check_payment_methods,11,7,-6.227675,25.484247,"payment, methods, help","payment, methods, help"
where to change to the goddamn account?,switch_account,4,1,12.161793,4.94954,"account, need, help","account, standard, change"
need help deleting my account,delete_account,4,13,5.6252823,7.325564,"account, need, help","account, know, standard"
"the address changed, i need assistace editing it",change_shipping_address,5,29,7.2103033,-3.1173093,"address, delivery, shipping","address, trying, help"
how do i check when my package is going to arrive?,delivery_period,0,3,-11.911031,0.5611742,"arrive, soon, expect","arrive, check, help"
i can't check purchase status,track_order,1,41,6.3607683,17.1315,"order, purchase, help","purchase, status, check"
i need help getting in touch with customer assistance,contact_customer_service,3,11,-4.9240174,4.099793,"customer, talk, assistance","customer, assistance, talk"
i want help to check ur reimbursement policy,check_refund_policy,2,34,-9.333417,14.539075,"help, money, refund","reimbursement, policy, check"
"i have got to use the profile, help me",switch_account,4,23,11.179873,6.9293184,"account, need, help","profile, use, help"
i dont know how to see the invoice #12588,check_invoice,17,33,1.8234459,19.131094,"invoice, invoices, know","invoice, 37777, know"
i want help submitting my feedback about a service,review,9,20,-6.301508,-1.2136698,"feedback, leave, help","feedback, leave, help"
where could i cancel mycorporate newsletter subscription,newsletter_subscription,20,42,6.077965,-13.034811,"newsletter, subscription, cancel","newsletter, subscription, cancel"
i need help to reset the pwd of my user account,recover_password,13,39,18.280859,10.980695,"user, key, account","user, key, account"
"i paid for an article, i need help to get a refund",get_refund,2,19,-7.591223,10.970673,"help, money, refund","refunds, refund, request"
want help lodging a consumer reclmaation,complaint,12,24,-1.6712918,7.0401707,"claim, complaint, help","claim, complaint, help"
i want to know more about correcting my delivery address,change_shipping_address,5,4,3.8689768,-3.5715995,"address, delivery, shipping","address, delivery, shipping"
need help to notify of an error with online paymemts,payment_issue,7,18,1.8132652,24.598776,"payment, online, payments","payment, online, payments"
i want assistance to shop several articles,place_order,1,32,9.602717,14.752382,"order, purchase, help","article, articles, order"
opening standard account for wife,create_account,4,16,9.238105,5.242485,"account, need, help","account, premium, daughter"
what d i need to do to report a problem with sign-up,registration_problems,15,8,14.26117,2.415364,"sign, signup, inform","sign, signup, notify"
what do i need to do to check the payment methods,check_payment_methods,11,7,-6.253406,25.50424,"payment, methods, help","payment, methods, help"
i can't notify of a sign-up issue,registration_problems,15,8,15.032959,2.3535578,"sign, signup, inform","sign, signup, notify"
what do i need to do to chat wth a person?,contact_human_agent,3,11,-5.3929443,5.6672115,"customer, talk, assistance","customer, assistance, talk"
wanna see the early termination charge,check_cancellation_fee,8,15,23.549166,6.467465,"termination, early, check","termination, check, fee"
i don't know how to see the cancellation penalties,check_cancellation_fee,19,43,1.4280335,11.649397,"cancellation, need, charges","cancellation, penalty, penalties"
could i unsubscribe from the newsletter,newsletter_subscription,10,44,-2.577955,-8.284581,"newsletter, help, corporate","newsletter, unsubscribe, help"
help to see the accepted payment options,check_payment_methods,11,7,-6.2523966,23.985804,"payment, methods, help","payment, methods, help"
"i have got to submit feedback for a service, how to do it?",review,9,20,-6.25827,-1.1465704,"feedback, leave, help","feedback, leave, help"
assistance informing of a signup problem,registration_problems,15,8,14.81555,2.6025326,"sign, signup, inform","sign, signup, notify"
how do i inform of payment provlems,payment_issue,7,18,0.76206154,24.13674,"payment, online, payments","payment, online, payments"
i do not know what i need to do to see the bill #85632,check_invoice,6,37,-1.209394,17.669348,"help, look, know","help, look, know"
help me reporting an issue wigh online payment,payment_issue,7,18,2.272073,24.576155,"payment, online, payments","payment, online, payments"
i want help seeing what delivery options are there,delivery_options,16,45,3.672427,-6.592576,"options, methods, delivery","delivery, options, help"
i need help to unsubscribe to your newsletter,newsletter_subscription,10,44,-2.6080153,-8.245029,"newsletter, help, corporate","newsletter, unsubscribe, help"
need to report a troubled with payments,payment_issue,7,18,0.9072797,24.631212,"payment, online, payments","payment, online, payments"
help me to see at what time customer support available is,contact_customer_service,14,21,-14.357627,6.9132824,"customer, hours, help","customer, hours, help"
want help to know if there is anything wrong with the refund,track_refund,2,46,-8.40271,11.599128,"help, money, refund","refund, help, policy"
i try to make a consumer reclamation against ur company,complaint,12,24,-1.8238266,7.1673584,"claim, complaint, help","claim, complaint, help"
updating info on account,edit_account,4,1,11.416142,5.308362,"account, need, help","account, standard, change"
help mke chatting with a person,contact_human_agent,3,11,-5.3269925,5.6070876,"customer, talk, assistance","customer, assistance, talk"
se up new delivery address,set_up_shipping_address,5,4,3.0163126,-3.625659,"address, delivery, shipping","address, delivery, shipping"
see the early exit fees,check_cancellation_fee,8,47,19.116993,2.9855182,"termination, early, check","early, exit, fees"
i can't subscribe to the newsletter,newsletter_subscription,10,6,-2.3011482,-9.265105,"newsletter, help, corporate","newsletter, corporate, sign"
i want help to get refunds,get_refund,2,19,-7.524538,10.903299,"help, money, refund","refunds, refund, request"
"i need to see your refund policy, how could i do it?",check_refund_policy,2,46,-7.7080517,11.5123205,"help, money, refund","refund, help, policy"
want help acquiring several of ur item,place_order,1,10,5.215751,14.907478,"order, purchase, help","item, help, product"
i do not know what to do to get the invoice #37777,get_invoice,17,33,1.83793,19.293892,"invoice, invoices, know","invoice, 37777, know"
i want assistance submitting feedback about an service,review,9,20,-6.3068233,-1.2063003,"feedback, leave, help","feedback, leave, help"
how do i make a complaint against your business?,complaint,12,24,0.071256116,5.8874655,"claim, complaint, help","claim, complaint, help"
want assistance listing the available payment options,check_payment_methods,11,7,-6.04498,24.17128,"payment, methods, help","payment, methods, help"
how to see if there is anything wrong with the restitution?,track_refund,2,12,-9.68317,11.2497015,"help, money, refund","money, restitution, help"
what do i have to do to file a consumer complaint?,complaint,12,24,0.41726887,6.106169,"claim, complaint, help","claim, complaint, help"
i try to submit a different delivery address,set_up_shipping_address,5,4,2.9578404,-3.067177,"address, delivery, shipping","address, delivery, shipping"
i chose a wrong delivery addreds,change_shipping_address,16,45,3.6881511,-6.561963,"options, methods, delivery","delivery, options, help"
i dont knowwhat to do to submit some feedback for a product,review,9,20,-5.5319757,-0.6725149,"feedback, leave, help","feedback, leave, help"
i cannot track purchase,track_order,1,2,6.532433,15.148321,"order, purchase, help","order, purchase, help"
assistance setting up my secondary delivery address,set_up_shipping_address,5,17,2.008916,-1.3592961,"address, delivery, shipping","address, secondary, delivery"
"i want to check your regund policy, help me",check_refund_policy,2,46,-7.6698174,11.5396595,"help, money, refund","refund, help, policy"
i try to see how long it takes for my parcel to arrive,delivery_period,0,3,-12.434113,1.092307,"arrive, soon, expect","arrive, check, help"
help me to check how long reimbursements usuaoly take,check_refund_policy,2,48,-8.792449,12.342844,"help, money, refund","long, reimbursements, check"
where to check how soon can i expect my product ?,delivery_period,0,49,-13.748198,0.89886206,"arrive, soon, expect","soon, expect, check"
can you help me to file a fucking customer reclamation?,complaint,12,24,-1.8705639,7.303597,"claim, complaint, help","claim, complaint, help"
i need to see what delivery methods you offer,delivery_options,16,50,11.107387,-9.500666,"options, methods, delivery","delivery, methods, check"
correcting information on freemium account,edit_account,4,51,7.2220716,5.496344,"account, need, help","freemium, account, info"
i want assistance to cancel purchase,cancel_order,1,35,5.871197,10.660547,"order, purchase, help","purchase, cancel, order"
i do not know what to do to locate order,track_order,1,2,6.2586884,13.999847,"order, purchase, help","order, purchase, help"
can you help me to see how long the delivery takes?,delivery_period,0,3,-12.456431,0.3698506,"arrive, soon, expect","arrive, check, help"
i need help canceling my subscription to the newsletter,newsletter_subscription,20,42,5.8461823,-12.804683,"newsletter, subscription, cancel","newsletter, subscription, cancel"
i want to know about unsubscribing to your newsletter,newsletter_subscription,10,44,-2.6498213,-8.274926,"newsletter, help, corporate","newsletter, unsubscribe, help"
help checking when my article is going to arrive,delivery_period,0,5,-15.614025,14.337966,"arrive, soon, expect","article, arrive, help"
there is an error entering the secondary shipping address,set_up_shipping_address,5,17,2.238227,-1.6022831,"address, delivery, shipping","address, secondary, delivery"
i do not know what i have to do to submit bloody feedback,review,9,20,-5.8077507,-0.8428234,"feedback, leave, help","feedback, leave, help"
question about a forgotten key,recover_password,13,39,18.704258,9.941249,"user, key, account","user, key, account"
delete gold account,delete_account,4,22,7.751739,6.8161035,"account, need, help","gold, account, information"
"i want to see in what cases can i request refunds, help me",check_refund_policy,2,19,-6.927115,10.188036,"help, money, refund","refunds, refund, request"
"i want to see the methods for delivery, how could i do it?",delivery_options,16,50,11.117192,-9.50984,"options, methods, delivery","delivery, methods, check"
"i want to see the cancellation fees, i need assistance",check_cancellation_fee,19,40,0.9582951,11.250411,"cancellation, need, charges","cancellation, charges, fees"
i do not know what i need to do to download invoice #85632,get_invoice,17,9,2.1692774,17.725166,"invoice, invoices, know","invoice, invoices, download"
how can i get information about creating standard accounts,create_account,4,1,11.755925,3.5436776,"account, need, help","account, standard, change"
i dont understand a word ya say how to chat with a person,contact_human_agent,3,11,-5.3420463,5.66718,"customer, talk, assistance","customer, assistance, talk"
my experience with ya was terrible help maing a claim,complaint,12,24,-0.37339747,6.866831,"claim, complaint, help","claim, complaint, help"
need to correct the info included on my user profile,edit_account,4,1,11.54716,5.625048,"account, need, help","account, standard, change"
i expect a compensation of,track_refund,2,12,-9.9868,12.239211,"help, money, refund","money, restitution, help"
i need assistance notifying of a payment probelm,payment_issue,7,18,0.9494649,23.979616,"payment, online, payments","payment, online, payments"
i do not know how i could report signup issues,registration_problems,15,8,14.275981,2.4563086,"sign, signup, inform","sign, signup, notify"
i need help to updae the address,change_shipping_address,5,29,7.0221815,-3.2130852,"address, delivery, shipping","address, trying, help"
i can no longer afford purchase,cancel_order,1,2,6.0001063,11.323644,"order, purchase, help","order, purchase, help"
add something to order,change_order,1,10,5.786834,14.43124,"order, purchase, help","item, help, product"
i don't know what i need to do to check the invoice #37777,check_invoice,17,33,1.8862864,19.22274,"invoice, invoices, know","invoice, 37777, know"
wat help to see the eta of purchase,track_order,18,38,-6.3555055,19.753275,"eta, purchase, order","eta, purchase, help"
i want assistance seting my new delivery address up,set_up_shipping_address,5,4,2.9086165,-3.801481,"address, delivery, shipping","address, delivery, shipping"
i need information about the removal of a gold account,delete_account,4,22,7.7071705,6.819288,"account, need, help","gold, account, information"
"i need to see your money back guarantee, can you help me?",check_refund_policy,2,52,-6.86989,11.96968,"help, money, refund","money, help, check"
tell me more about a delivery address change,change_shipping_address,5,4,4.2403827,-3.611375,"address, delivery, shipping","address, delivery, shipping"
i do not know how to write an opinion about a product,review,9,20,-5.1046963,-0.9790127,"feedback, leave, help","feedback, leave, help"
need help submitting bloody feedback for a service,review,9,20,-6.2709017,-1.147141,"feedback, leave, help","feedback, leave, help"
i do not know what i need to do to inform of payment errors,payment_issue,7,18,1.4270891,24.211723,"payment, online, payments","payment, online, payments"
can you help me notify of a registration issue?,registration_problems,15,0,15.975573,6.812894,"sign, signup, inform","registration, inform, report"
"i can't pay for this item, cancel order",cancel_order,1,35,6.2577987,11.215943,"order, purchase, help","purchase, cancel, order"
i do not know what i need to do to chat with somebody,contact_human_agent,3,11,-5.379384,5.6382227,"customer, talk, assistance","customer, assistance, talk"
how can i check the status of purchase ?,track_order,1,41,6.340534,17.151316,"order, purchase, help","purchase, status, check"
i want assistance seeing what shipment methods are there,delivery_options,16,28,5.8566146,-7.0241847,"options, methods, delivery","shipping, methods, options"
"i need to see the eta of the purchase , help me",track_order,18,38,-6.3319182,19.780918,"eta, purchase, order","eta, purchase, help"
do you have an e-mail to send a comment for your company?,review,9,20,-5.250462,-1.2800566,"feedback, leave, help","feedback, leave, help"
can ya help me remove some products from order,change_order,1,26,8.954389,13.248352,"order, purchase, help","order, delete, help"
i want to cancel the compqny newsletter subscription,newsletter_subscription,20,42,5.8044863,-12.76272,"newsletter, subscription, cancel","newsletter, subscription, cancel"
need help to check the shipment methods,delivery_options,16,28,5.858737,-7.0253935,"options, methods, delivery","shipping, methods, options"
could i set up the shipping address?,set_up_shipping_address,5,4,3.9030018,-1.9492799,"address, delivery, shipping","address, delivery, shipping"
where do i recover the access key of my user account?,recover_password,13,39,18.789888,9.829672,"user, key, account","user, key, account"
neerd help chatting with a human agent,contact_human_agent,3,27,-5.0899982,14.382373,"customer, talk, assistance","agent, talk, human"
i want assistance using the gold account,switch_account,4,36,8.662959,6.3907285,"account, need, help","gold, account, change"
how to check the current status of the reimbursement?,track_refund,2,34,-9.641825,14.150765,"help, money, refund","reimbursement, policy, check"
i do not know what to do to call customer service,contact_customer_service,3,11,-4.951383,3.795152,"customer, talk, assistance","customer, assistance, talk"
i need assistance listing your vaailable payment modalities,check_payment_methods,11,7,-5.033495,24.794697,"payment, methods, help","payment, methods, help"
can ya help me requesting a rebate of my money,get_refund,2,31,-11.688765,10.710841,"help, money, refund","rebate, money, rebates"
need to demand revates of my money,get_refund,2,12,-9.645088,12.711991,"help, money, refund","money, restitution, help"
help me see the current status of my compensation,track_refund,2,53,-10.830839,12.561314,"help, money, refund","compensation, status, current"
i do not know how i can switch to the platinum account,switch_account,4,54,8.15704,3.9385881,"account, need, help","platinum, account, help"
can ya show me at what time customr service available is,contact_customer_service,14,21,-14.38147,7.00248,"customer, hours, help","customer, hours, help"
i cant subscribe to thecorporate newsletter,newsletter_subscription,10,6,-2.362781,-9.380045,"newsletter, help, corporate","newsletter, corporate, sign"
"i cannot open a user, help informing of sign-up problems",registration_problems,15,8,14.328493,2.6316278,"sign, signup, inform","sign, signup, notify"
want assistance cancelling a account,delete_account,4,13,6.640577,7.434582,"account, need, help","account, know, standard"
how to create a account,create_account,4,1,12.203525,3.1040914,"account, need, help","account, standard, change"
wanna notify of a trouble with online payments,payment_issue,7,18,1.9199504,24.754211,"payment, online, payments","payment, online, payments"
i need assistance to reset my user profile password,recover_password,13,39,18.056137,10.610955,"user, key, account","user, key, account"
need to see how long it usually take for the item to arrive,delivery_period,0,3,-12.472368,0.62387335,"arrive, soon, expect","arrive, check, help"
what do i need to do to create a platinum account for my dad,create_account,4,30,9.07323,3.4136853,"account, need, help","account, dad, open"
correct delivery address,change_shipping_address,5,4,3.7594216,-3.5708623,"address, delivery, shipping","address, delivery, shipping"
i have to report problems with payment,payment_issue,7,18,0.8626801,24.56603,"payment, online, payments","payment, online, payments"
help me use the freemium profile,switch_account,4,51,7.2612977,5.522129,"account, need, help","freemium, account, info"
can i check in which cases can i ask for my money back?,check_refund_policy,2,52,-6.49164,12.544307,"help, money, refund","money, help, check"
i want information about a forgotten pin code,recover_password,21,55,17.313263,15.55537,"pin, user, code","pin, user, code"
i need to enter another shipping address,set_up_shipping_address,5,4,3.562849,-2.245969,"address, delivery, shipping","address, delivery, shipping"
use freemium acdcount,switch_account,4,51,7.263499,5.5280995,"account, need, help","freemium, account, info"
i need assistance canceling a account,delete_account,4,13,6.6356397,7.4495015,"account, need, help","account, know, standard"
"i need to see the cancellation fee, can you help me?",check_cancellation_fee,19,40,0.96484923,11.2586565,"cancellation, need, charges","cancellation, charges, fees"
could i get my bill from ?,get_invoice,6,37,-0.692829,17.208904,"help, look, know","help, look, know"
i need assistance to check when will my product arrive,delivery_period,0,3,-11.682511,0.86064065,"arrive, soon, expect","arrive, check, help"
problems correcting address,change_shipping_address,5,29,7.0983443,-3.0780811,"address, delivery, shipping","address, trying, help"
need help ordering several oof your product,place_order,1,10,5.5182266,14.21025,"order, purchase, help","item, help, product"
i need assistance to purchase several of ur item,place_order,1,10,5.3083024,14.701386,"order, purchase, help","item, help, product"
can you help me shopping several of your article?,place_order,1,32,9.648688,14.757675,"order, purchase, help","article, articles, order"
need help giving a quick look at the invoice from,check_invoice,17,33,1.711724,18.896461,"invoice, invoices, know","invoice, 37777, know"
i try to see the current status of purchase,track_order,1,41,6.2681594,17.224262,"order, purchase, help","purchase, status, check"
swap several articles of order,change_order,1,32,8.881972,14.173757,"order, purchase, help","article, articles, order"
how to correct the shipping address?,change_shipping_address,5,4,4.434602,-2.8821983,"address, delivery, shipping","address, delivery, shipping"
i cant unsubscribe to the company newsletter,newsletter_subscription,10,44,-2.8000944,-8.052262,"newsletter, help, corporate","newsletter, unsubscribe, help"
i don't know what to do to shop an article,place_order,1,32,9.552959,14.738412,"order, purchase, help","article, articles, order"
i want help to recver my user account pwd,recover_password,13,39,18.362715,11.054152,"user, key, account","user, key, account"
check the eta of the purchase,track_order,18,38,-6.3327503,19.774187,"eta, purchase, order","eta, purchase, help"
want help to check what hours i can reach customer service,contact_customer_service,14,21,-14.133941,6.5526047,"customer, hours, help","customer, hours, help"
"i want information about shipping periods, how can i get it?",delivery_period,0,3,-12.894654,0.0727575,"arrive, soon, expect","arrive, check, help"
i want help to see the withdrawal penalty,check_cancellation_fee,8,56,20.806559,1.1515802,"termination, early, check","withdrawal, penalties, penalty"
"i am looking for shipping periods, i need help to find them",delivery_period,0,3,-12.894214,0.0713659,"arrive, soon, expect","arrive, check, help"
where can i find information about account terminations?,delete_account,4,13,6.424762,6.847059,"account, need, help","account, know, standard"
"i ordered some item, cancel purchase",cancel_order,1,35,6.328103,11.230882,"order, purchase, help","purchase, cancel, order"
i have to switch some bloody products of order,change_order,1,2,6.380459,14.290081,"order, purchase, help","order, purchase, help"
